claim_id,class,subject_type,subject_id,subject_name,predicate,object_type,object_id,object_name,polarity,matrix,process,method,study_type,year,citation_count,weight,n_independent_sources,provenance
A-15-100,A_molecule_contributes_to_descriptor,molecule,15,3-[(E)-1-buten-1-yl]-4-propylpyridine,contributes_to,sensory_descriptor,100,green bean,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-15-382,A_molecule_contributes_to_descriptor,molecule,15,3-[(E)-1-buten-1-yl]-4-propylpyridine,contributes_to,sensory_descriptor,382,powdery musk,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-16-250,A_molecule_contributes_to_descriptor,molecule,16,"1,3,5-trithiane",contributes_to,sensory_descriptor,250,sulfurous,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-17-245,A_molecule_contributes_to_descriptor,molecule,17,2-methyl-1-butanol,contributes_to,sensory_descriptor,245,fusel oil,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-17-364,A_molecule_contributes_to_descriptor,molecule,17,2-methyl-1-butanol,contributes_to,sensory_descriptor,364,sweet,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-18-114,A_molecule_contributes_to_descriptor,molecule,18,3-methylbutanoic acid (isovaleric acid),contributes_to,sensory_descriptor,114,cheese,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-18-27,A_molecule_contributes_to_descriptor,molecule,18,3-methylbutanoic acid (isovaleric acid),contributes_to,sensory_descriptor,27,old hop,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-18-322,A_molecule_contributes_to_descriptor,molecule,18,3-methylbutanoic acid (isovaleric acid),contributes_to,sensory_descriptor,322,old socks,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-18-207,A_molecule_contributes_to_descriptor,molecule,18,3-methylbutanoic acid (isovaleric acid),contributes_to,sensory_descriptor,207,sweaty,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-19-596,A_molecule_contributes_to_descriptor,molecule,19,"2-isobutyl-3-methoxy-5,6-dimethylpyrazine",contributes_to,sensory_descriptor,596,camphoraceous,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-19-605,A_molecule_contributes_to_descriptor,molecule,19,"2-isobutyl-3-methoxy-5,6-dimethylpyrazine",contributes_to,sensory_descriptor,605,mint,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-20-165,A_molecule_contributes_to_descriptor,molecule,20,2-methyl-3-(methyltrithio)furan,contributes_to,sensory_descriptor,165,meat,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-21-520,A_molecule_contributes_to_descriptor,molecule,21,(Z)-2-octenal,contributes_to,sensory_descriptor,520,fatty,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-21-63,A_molecule_contributes_to_descriptor,molecule,21,(Z)-2-octenal,contributes_to,sensory_descriptor,63,fruity,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-21-495,A_molecule_contributes_to_descriptor,molecule,21,(Z)-2-octenal,contributes_to,sensory_descriptor,495,slightly green,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-22-347,A_molecule_contributes_to_descriptor,molecule,22,trans-rose oxide,contributes_to,sensory_descriptor,347,floral,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-23-165,A_molecule_contributes_to_descriptor,molecule,23,"3-mercapto-2-methyl-2,3-dihydrothiophen-4-ol",contributes_to,sensory_descriptor,165,meat,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-23-485,A_molecule_contributes_to_descriptor,molecule,23,"3-mercapto-2-methyl-2,3-dihydrothiophen-4-ol",contributes_to,sensory_descriptor,485,phenolic,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-23-621,A_molecule_contributes_to_descriptor,molecule,23,"3-mercapto-2-methyl-2,3-dihydrothiophen-4-ol",contributes_to,sensory_descriptor,621,savory,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-24-586,A_molecule_contributes_to_descriptor,molecule,24,2-isopropyl-4-methylpyridine,contributes_to,sensory_descriptor,586,earthy green,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-24-28,A_molecule_contributes_to_descriptor,molecule,24,2-isopropyl-4-methylpyridine,contributes_to,sensory_descriptor,28,somewhat sour and citrus,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-25-403,A_molecule_contributes_to_descriptor,molecule,25,pyrazine,contributes_to,sensory_descriptor,403,corn with bitter note,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-25-277,A_molecule_contributes_to_descriptor,molecule,25,pyrazine,contributes_to,sensory_descriptor,277,pungent,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-25-561,A_molecule_contributes_to_descriptor,molecule,25,pyrazine,contributes_to,sensory_descriptor,561,strong,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-25-364,A_molecule_contributes_to_descriptor,molecule,25,pyrazine,contributes_to,sensory_descriptor,364,sweet,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-26-445,A_molecule_contributes_to_descriptor,molecule,26,2-methylthio-3-isobutylpyrazine,contributes_to,sensory_descriptor,445,cheese (camembert),positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-26-327,A_molecule_contributes_to_descriptor,molecule,26,2-methylthio-3-isobutylpyrazine,contributes_to,sensory_descriptor,327,roasted peanuts,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-26-401,A_molecule_contributes_to_descriptor,molecule,26,2-methylthio-3-isobutylpyrazine,contributes_to,sensory_descriptor,401,weakly green,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-27-557,A_molecule_contributes_to_descriptor,molecule,27,2-(2-methylthioethyl)-3-methyl-4-(methylthiomethyl)thiophene,contributes_to,sensory_descriptor,557,garlic,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-27-485,A_molecule_contributes_to_descriptor,molecule,27,2-(2-methylthioethyl)-3-methyl-4-(methylthiomethyl)thiophene,contributes_to,sensory_descriptor,485,phenolic,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-27-250,A_molecule_contributes_to_descriptor,molecule,27,2-(2-methylthioethyl)-3-methyl-4-(methylthiomethyl)thiophene,contributes_to,sensory_descriptor,250,sulfurous,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-28-6,A_molecule_contributes_to_descriptor,molecule,28,"2-ethyl-4,6-dimethyldihydro-1,3,5-dithiazine",contributes_to,sensory_descriptor,6,cooked beef,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-29-54,A_molecule_contributes_to_descriptor,molecule,29,5-[(Z)-1-buten-1-yl]-2-propylpyridine,contributes_to,sensory_descriptor,54,fermented beany,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-29-107,A_molecule_contributes_to_descriptor,molecule,29,5-[(Z)-1-buten-1-yl]-2-propylpyridine,contributes_to,sensory_descriptor,107,somewhat rose,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-29-95,A_molecule_contributes_to_descriptor,molecule,29,5-[(Z)-1-buten-1-yl]-2-propylpyridine,contributes_to,sensory_descriptor,95,wormwood,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-30-88,A_molecule_contributes_to_descriptor,molecule,30,2-hydroxypropanoic acid,contributes_to,sensory_descriptor,88,acidic,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-31-636,A_molecule_contributes_to_descriptor,molecule,31,2-[(methylthio)methyl]furan (2-furfurylmethyl sulfide),contributes_to,sensory_descriptor,636,coffee,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-32-237,A_molecule_contributes_to_descriptor,molecule,32,"2-methyl-4,5-dihydro-3(2H)-thiophenone",contributes_to,sensory_descriptor,237,acetylenic,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-33-193,A_molecule_contributes_to_descriptor,molecule,33,2-ethyl-3-methoxypyrazine,contributes_to,sensory_descriptor,193,bell pepper,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-33-311,A_molecule_contributes_to_descriptor,molecule,33,2-ethyl-3-methoxypyrazine,contributes_to,sensory_descriptor,311,earthy,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-33-444,A_molecule_contributes_to_descriptor,molecule,33,2-ethyl-3-methoxypyrazine,contributes_to,sensory_descriptor,444,raw potato,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-34-638,A_molecule_contributes_to_descriptor,molecule,34,benzaldehyde,contributes_to,sensory_descriptor,638,almond,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-34-104,A_molecule_contributes_to_descriptor,molecule,34,benzaldehyde,contributes_to,sensory_descriptor,104,bitter almond,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-35-174,A_molecule_contributes_to_descriptor,molecule,35,3-hexen-4-olide,contributes_to,sensory_descriptor,174,cinnamon,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-35-190,A_molecule_contributes_to_descriptor,molecule,35,3-hexen-4-olide,contributes_to,sensory_descriptor,190,spicy,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-36-68,A_molecule_contributes_to_descriptor,molecule,36,3-methylbutyl acetate,contributes_to,sensory_descriptor,68,apple,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
